Feature Cluster,CRE_W3-fixBA_unscaled,CRE_W3-fixBA_unscaled_err_low,CRE_W3-fixBA_unscaled_err_high,CRE_W4_unscaled,CRE_W4_unscaled_err_low,CRE_W4_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,CN_r_unscaled,CN_r_unscaled_err_low,CN_r_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,CN_W2_unscaled,CN_W2_unscaled_err_low,CN_W2_unscaled_err_high,CN_W3-fixBA_unscaled,CN_W3-fixBA_unscaled_err_low,CN_W3-fixBA_unscaled_err_high,CN_W4_unscaled,CN_W4_unscaled_err_low,CN_W4_unscaled_err_high,AVG_RE_gr_unscaled,AVG_RE_gr_unscaled_err_low,AVG_RE_gr_unscaled_err_high,AVG_RE_W1W2_unscaled,AVG_RE_W1W2_unscaled_err_low,AVG_RE_W1W2_unscaled_err_high,NUV_r_unscaled,NUV_r_unscaled_err_low,NUV_r_unscaled_err_high,W1_W4_unscaled,W1_W4_unscaled_err_low,W1_W4_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high
0,2.276356699204401,0.07097942819727532,0.15334203519755985,2.232619166022309,0.19884770877485236,0.33793203687848195,0.7642,0.026799999999999935,0.022399999999999975,0.8897,0.021400000000000086,0.00759999999999994,0.8079,0.007899999999999907,0.008500000000000063,0.7091,0.017299999999999982,0.015900000000000025,0.3938,0.02899999999999997,0.043300000000000005,0.0731,0.0174,0.03710000000000001,2.7906290042456487,0.08596938755952843,0.16308363984017626,2.5549259479492363,0.1375575737793353,0.11530452642527944,2.247273584228516,0.06037050537109323,0.02947513940429758,0.7213249127905268,0.0768715538281235,0.1525696934204106,0.9483290833445175,0.03409874308159522,0.005309513741216243
1,4.315471597615656,0.17815819183788406,0.13127639155585236,4.4860475453682485,0.38026192377200463,0.007720355964043968,0.7107,0.046599999999999975,0.008399999999999963,0.852,0.007699999999999929,0.05800000000000005,0.818,0.08009999999999995,0.03160000000000007,0.7412,0.0393,0.1532,0.4893,0.01100000000000001,0.01150000000000001,0.4576,0.006400000000000017,0.07379999999999998,5.224063873071937,0.18174426681010125,0.18278571381637843,4.547593343000992,0.2073222803599819,0.06302455667376172,2.7100155823974603,0.019371605224609567,0.05417176123046907,0.7238929370312484,0.12986292645507724,0.007180273408204485,0.972593903962013,0.03439938843102497,0.031255868090957484
